GreenThread Commerce LLC - Profit & Loss Statement - H1 2026

Category,January,February,March,April,May,June

REVENUE
  Revenue,58919,64944,71359,79145,84549,87701
  Cost of Goods Sold,14090,14766,18109,23094,25610,25719
GROSS PROFIT,44829,50178,53250,56051,58939,61982

OPERATING EXPENSES
  Payroll & Benefits,64057,76408,75363,72469,73733,72300
  Rent & Facilities,5742,4933,5911,4338,5368,4295
  AWS Infrastructure,10182,9982,5497,9855,5017,5706
  Marketing & Ads,6372,5616,5377,4774,3699,7503
  Contractors,3692,5774,11065,4134,2089,2386
  Software & Tools,3983,2987,2534,2621,2152,3670
  Legal & Professional,2503,1116,2517,1169,1997,1016
  Other Expenses,1569,1153,1390,2158,1942,2450
TOTAL OPERATING EXPENSES,98100,107969,109654,101518,95997,99326

NET INCOME (LOSS),-53271,-57791,-56404,-45467,-37058,-37344
