NovaByte Inc. - Profit & Loss Statement - H1 2026

Category,January,February,March,April,May,June

REVENUE
  Revenue,24279,30810,34104,35187,41171,43252
  Cost of Goods Sold,7709,9391,9759,10680,9547,12621
GROSS PROFIT,16570,21419,24345,24507,31624,30631

OPERATING EXPENSES
  Payroll & Benefits,37623,36751,38664,41680,39177,41520
  Rent & Facilities,5467,4468,4620,5844,3314,3287
  AWS Infrastructure,9838,8875,15234,7064,9497,7307
  Marketing & Ads,7612,7048,6886,7057,4062,6521
  Contractors,7889,11360,9229,6592,8359,3163
  Software & Tools,2405,1573,2669,3373,2450,3390
  Legal & Professional,2715,1138,1772,2270,1935,2336
  Other Expenses,931,2323,1201,2347,1585,1047
TOTAL OPERATING EXPENSES,74480,73536,80275,76227,70379,68571

NET INCOME (LOSS),-57910,-52117,-55930,-51720,-38755,-37940
