PulseMetrics Health Inc. - Profit & Loss Statement - H1 2026

Category,January,February,March,April,May,June

REVENUE
  Revenue,7742,6918,8486,11451,13051,15389
  Cost of Goods Sold,2075,2130,2618,3191,4060,3558
GROSS PROFIT,5667,4788,5868,8260,8991,11831

OPERATING EXPENSES
  Payroll & Benefits,18238,21086,18371,19129,20852,21762
  Rent & Facilities,4247,5192,3093,3221,5188,5400
  AWS Infrastructure,17671,4032,15598,8915,9596,13280
  Marketing & Ads,3735,2403,3937,5034,3286,6456
  Contractors,4445,1603,1263,10097,8086,5651
  Software & Tools,3534,1533,1869,1511,3170,3545
  Legal & Professional,1641,1820,607,1096,694,1788
  Other Expenses,1449,1416,610,1461,717,1228
TOTAL OPERATING EXPENSES,54960,39085,45348,50464,51589,59110

NET INCOME (LOSS),-49293,-34297,-39480,-42204,-42598,-47279
